model,mean_average_precision,std_average_precision,mean_roc_auc,rank_average_precision
HistGradientBoostingClassifier,0.8485252756491738,0.024944801990474767,0.9784119090772471,1
ExtraTreesClassifier,0.8454964873834604,0.02013598149473403,0.9738211545321375,2
XGBClassifier,0.8395005534623818,0.034275258818097766,0.9775584354924094,3
RandomForestClassifier,0.8295664875018476,0.024154746487363363,0.9792329678122478,4
LogisticRegression,0.7965616800154612,0.021066562412574895,0.9807288403839561,5
